Name	wt51e_lg_1	wt51e_lg_2	wt51e_lg_3	mt51e_lg_1	mt51e_lg_2	mt51e_lg_3
SAOUHSC_03055	10675.2	9587.94	7257.8	7024.3	7176.33	4960.82
SAOUHSC_03054	15.7189	13.0851	15.1185	4.58333	9.24123	27.3092
SAOUHSC_03053	25.3568	23.5031	29.4745	15.9306	30.9653	57.2844
SAOUHSC_03051	88.9506	87.0647	65.8333	71.7547	77.6487	131.095
SAOUHSC_03049	161.282	149.217	137.274	145.416	180.344	136.884
SAOUHSC_03047	13.0279	16.659	8.02976	13.0312	12.5506	35.113
SAOUHSC_03045	9843.72	6593.64	7158.75	7704.95	7941.42	3492.39
SAOUHSC_3042a	7.56627	12.9351	2.21114	3.04121	21.8264	2.05288
SAOUHSC_03042	2.07336	4.83125	1.47505	4.00598	6.82072	1.23371
SAOUHSC_03041	1.21943	3.40327	1.6282	2.1858	1.47289	2.78143
SAOUHSC_03036	0.688634	0.379373	0	0.628495	1.67093	1.92085
SAOUHSC_03035	2.3358	6.51076	1.56109	2.13144	4.23344	8.64205
SAOUHSC_03034	2.92316	3.57499	7.46352	9.5236	7.35812	6.87307
SAOUHSC_03030	84.2409	92.2015	85.9828	111.226	85.2068	28.7518
SAOUHSC_03026	5.42752	9.71512	14.6636	10.6472	10.1524	6.43715
SAOUHSC_03025	11.1948	14.3411	21.2001	51.9564	41.7262	37.7686
SAOUHSC_03024	92.5262	74.928	78.2808	78.9407	85.3171	78.4774
SAOUHSC_03022	39.9545	47.4584	63.6119	42.8122	48.05	63.2606
SAOUHSC_03019	10.6695	14.9069	51.6302	55.4455	61.3322	84.7014
SAOUHSC_03018	3.26211	9.52542	18.6673	22.3307	26.3107	52.395
SAOUHSC_03017	10.446	19.739	34.3424	37.2337	49.6616	130.108
srn_5080_Sau6518	0	0	0	0	0	0
SAOUHSC_03015	1.2386	0.688531	2.96281	4.11912	6.07854	13.0533
SAOUHSC_03014	0.92574	0.502209	3.68075	5.17806	6.58629	9.01009
SAOUHSC_03013	1.70131	2.06603	3.37638	5.23474	10.0421	7.66379
SAOUHSC_03011	1.4765	1.09271	3.26408	5.40441	10.5806	9.73168
SAOUHSC_03010	0	2.11494	2.68	7.82311	12.6958	16.351
SAOUHSC_03006	3.9428	4.17233	1.49453	1.96164	0.978542	2.8689
SAOUHSC_03000	0	0.453308	0	0.380361	0	0.460256
SAOUHSC_02999	1.16085	0.854581	3.65141	2.10519	3.12733	2.16783
SAOUHSC_02998	1.01766	2.24195	2.2912	1.89152	2.19512	2.26983
SAOUHSC_02997	4.36949	6.07076	4.03579	6.0122	12.4034	9.77104
SAOUHSC_02994	10.1821	5.77286	1.3369	9.8104	15.512	2.3601
