Name	wt_lg_1	wt_lg_2	wt_lg_3	mt_lg_1	mt_lg_2	mt_lg_3
SAOUHSC_03055	7525.36	7782.03	7222.81	9280.68	9277.58	9149.79
SAOUHSC_03054	10.7511	13.7744	28.8138	30.0347	36.9276	41.1027
SAOUHSC_03053	34.2977	38.5184	43.4733	56.2729	64.6446	62.6369
SAOUHSC_03051	92.2501	100.378	94.1717	149.963	190.656	176.352
SAOUHSC_03049	124.368	160.47	124.06	221.489	239.366	247.479
SAOUHSC_03047	10.7788	13.579	17.174	16.8232	16.0178	14.353
SAOUHSC_03045	3614.22	3689.46	3365.91	4854.53	4125.86	4127.72
SAOUHSC_3042a	3.57875	0	7.31946	18.1319	11.0978	3.22312
SAOUHSC_03042	3.25276	0	2.18265	6.05862	8.01698	1.93981
SAOUHSC_03041	2.55926	3.71237	2.54573	2.2023	2.31343	7.93471
SAOUHSC_03036	0.735727	0	1.09328	1.25656	0.52565	0.325147
SAOUHSC_03035	3.68266	6.409	7.93367	7.1779	9.31019	8.69711
SAOUHSC_03034	3.82233	2.81577	3.78546	6.90937	6.44903	4.91336
SAOUHSC_03030	88.4302	87.1078	104.291	92.0524	92.8356	91.9359
SAOUHSC_03026	14.1833	16.2434	17.3258	14.0262	14.6245	13.4583
SAOUHSC_03025	4.11521	7.9471	7.79347	27.1012	20.6636	18.1997
SAOUHSC_03024	26.7025	26.3936	22.8414	40.0127	45.1945	48.695
SAOUHSC_03022	26.788	37.4357	37.5291	43.5498	46.1643	48.0038
SAOUHSC_03019	10.658	9.48699	10.6654	16.2948	8.43454	8.74174
SAOUHSC_03018	7.66811	4.93238	7.12214	3.13349	3.27308	2.30764
SAOUHSC_03017	4.86778	1.48495	7.63719	7.92828	5.55223	1.70039
srn_5080_Sau6518	0	0	0	0	0	0
SAOUHSC_03015	1.00532	0	0	1.37236	0.956294	0.592238
SAOUHSC_03014	0.386005	1.11394	0	0.658717	1.72552	0
SAOUHSC_03013	1.878	1.18048	1.21076	1.66646	1.44838	1.08153
SAOUHSC_03011	1.04094	3.01693	2.03533	1.72624	1.4976	1.84237
SAOUHSC_03010	2.08188	0	1.0336	2.04742	0.374399	1.38178
SAOUHSC_03006	1.90372	1.92455	1.9963	4.03655	4.96052	4.09344
